tag,prior_uart_rx,boundary_original,audio_rerun_plugged
A,00032047,0001E816,0001EACB
B,0003214C,0001FEA0,00020154
C,0007EA0C,0007E91F,0007E920
D,00032065,000212E7,00021850
E,0007EB3E,0007EA4C,0007EA4D
F,0007E8A6,0007E7BD,0007E7BF
G,0000000C,0000000C,0000000C
H,00000002,00000002,00000002
I,50303031,50303031,50303031
J,00000004,00000004,00000004
K,00000000,00000000,00000000
L,00000004,00000004,00000004
M,18500010,18660010,18660010
N,00000004,00000004,00000004
O,00000004,00000004,00000004
P,00000000,00000000,00000000
Q,00000006,00000006,00000006
R,8018077F,8018077F,8018077F
S,8018073F,8018073F,8018073F
T,00000004,00000004,00000004
U,00000004,00000004,00000004
V,08220010,08220010,08220010
W,0007E93F,0007E854,0007E856
X,00000000,00000000,00000000
Y,08220010,08220010,08220010
Z,08220010,08220010,08220010
