[accepted] peak_env_window_start_s=3.7 peak_env_rms=1269.1
  window 0.1-1.1s: 408.0Hz, 204.0Hz, 816.0Hz, 612.0Hz
  window 3.7-4.7s: 436.0Hz, 872.0Hz, 408.0Hz, 1308.0Hz
  window 3.2-4.2s: 436.0Hz, 872.0Hz, 1308.0Hz, 1745.0Hz
  window 1.0-2.0s: 409.0Hz, 203.0Hz, 613.0Hz, 817.0Hz
  window 2.0-3.0s: 408.0Hz, 612.0Hz, 204.0Hz, 1225.0Hz
  window 3.0-4.0s: 436.0Hz, 872.0Hz, 1308.0Hz, 1745.0Hz
  window 4.0-5.0s: 408.0Hz, 436.0Hz, 204.0Hz, 612.0Hz
[prior_uart] peak_env_window_start_s=1.7 peak_env_rms=1243.1
  window 0.1-1.1s: 408.0Hz, 612.0Hz, 204.0Hz, 1224.0Hz
  window 1.7-2.7s: 436.0Hz, 872.0Hz, 408.0Hz, 1308.0Hz
  window 1.2-2.2s: 436.0Hz, 872.0Hz, 1308.0Hz, 1745.0Hz
  window 1.0-2.0s: 436.0Hz, 872.0Hz, 1308.0Hz, 1745.0Hz
  window 2.0-3.0s: 408.0Hz, 436.0Hz, 204.0Hz, 612.0Hz
  window 3.0-4.0s: 408.0Hz, 436.0Hz, 612.0Hz, 871.0Hz
  window 4.0-5.0s: 437.0Hz, 871.0Hz, 1304.0Hz, 1746.0Hz
[plugged_rerun] peak_env_window_start_s=1.5 peak_env_rms=1568.8
  window 0.1-1.1s: 198.0Hz, 297.0Hz, 99.0Hz, 396.0Hz
  window 1.5-2.5s: 436.0Hz, 198.0Hz, 297.0Hz, 99.0Hz
  window 1.0-2.0s: 436.0Hz, 872.0Hz, 198.0Hz, 297.0Hz
  window 1.0-2.0s: 436.0Hz, 872.0Hz, 198.0Hz, 297.0Hz
  window 2.0-3.0s: 198.0Hz, 297.0Hz, 99.0Hz, 396.0Hz
  window 3.0-4.0s: 198.0Hz, 297.0Hz, 99.0Hz, 396.0Hz
  window 4.0-5.0s: 198.0Hz, 297.0Hz, 99.0Hz, 396.0Hz
