index,pitch_name,loop_len,velocity_hex,command,peak_abs,peak_dbfs,rms_100ms_dbfs,rms_500ms_dbfs,rms_3s_dbfs,attack_ms,decay_db_per_s,spectral_centroid_hz,clipping_count,silence_after_ms
0,loop127,127,0x2000,!N007F2000,32508,-0.069,-13.158,-12.64,-14.281,1970.979,-3.356,2024.0,0,0.0
1,loop127,127,0x4000,!N007F4000,32519,-0.066,-15.52,-14.788,-15.522,864.292,-3.395,2867.0,0,0.0
2,loop127,127,0x7fff,!N007F7FFF,32553,-0.057,-19.51,-13.715,-12.937,507.75,2.066,1829.8,0,0.0
3,A4,106,0x2000,!N006A2000,32474,-0.078,-15.739,-15.908,-16.476,1281.729,1.381,2753.5,0,0.0
4,A4,106,0x4000,!N006A4000,32535,-0.062,-22.381,-22.152,-20.984,1292.917,0.742,4186.2,0,0.0
5,A4,106,0x7fff,!N006A7FFF,32557,-0.056,-20.312,-22.46,-20.67,2037.208,-1.438,5467.2,0,0.0
6,C5,89,0x2000,!N00592000,26784,-1.751,-25.493,-23.025,-22.691,2318.312,-4.257,4010.6,0,0.0
7,C5,89,0x4000,!N00594000,26772,-1.755,-20.769,-20.311,-20.577,2133.312,4.176,3293.5,0,0.0
8,C5,89,0x7fff,!N00597FFF,14880,-6.857,-17.59,-17.112,-16.333,1264.625,0.039,3171.8,0,0.0
9,A5,53,0x2000,!N00352000,21806,-3.537,-22.948,-21.015,-20.823,1840.667,1.847,3658.5,0,0.0
10,A5,53,0x4000,!N00354000,22381,-3.311,-18.012,-15.597,-15.618,544.75,2.207,3414.8,0,0.0
11,A5,53,0x7fff,!N00357FFF,17511,-5.443,-16.174,-16.229,-15.995,2280.604,0.195,2995.3,0,0.0
12,loop32,32,0x2000,!N00202000,18747,-4.85,-15.684,-15.449,-15.438,2208.479,-0.899,3034.2,0,0.0
13,loop32,32,0x4000,!N00204000,20347,-4.139,-15.603,-15.449,-15.305,2137.875,0.445,3188.5,0,0.0
14,loop32,32,0x7fff,!N00207FFF,19989,-4.293,-14.633,-15.326,-15.344,195.896,0.278,3393.4,0,0.0
