index,pitch_name,loop_len,velocity_hex,command,repeats,snr_db,peak_abs,peak_dbfs,rms_100ms_dbfs,rms_500ms_dbfs,rms_3s_dbfs,attack_ms,decay_db_per_s,spectral_centroid_hz,clipping_count,silence_after_ms
0,loop127,127,0x2000,!N007F2000,16,-13.266,2777,-21.437,-32.911,-34.326,-32.998,1146.625,-2.219,2718.5,0,0.0
1,loop127,127,0x4000,!N007F4000,16,-10.041,2679,-21.749,-31.923,-33.275,-33.88,1721.083,0.83,2599.9,0,0.0
2,loop127,127,0x7fff,!N007F7FFF,16,-12.214,2363,-22.839,-34.788,-33.593,-34.303,657.979,-5.805,3099.7,0,0.0
3,A4,106,0x2000,!N006A2000,16,-9.389,2381,-22.774,-34.786,-33.531,-33.965,1329.625,-1.812,3022.5,0,0.0
4,A4,106,0x4000,!N006A4000,16,-14.579,2648,-21.85,-34.843,-35.192,-35.685,2909.938,0.577,3082.0,0,0.0
5,A4,106,0x7fff,!N006A7FFF,16,-10.179,2475,-22.437,-31.901,-34.232,-35.151,13.354,0.923,3108.2,0,0.0
6,C5,89,0x2000,!N00592000,16,-10.035,2565,-22.127,-35.712,-33.913,-34.012,1922.396,0.914,3146.8,0,0.0
7,C5,89,0x4000,!N00594000,16,-12.14,2912,-21.025,-34.762,-34.586,-34.827,641.708,1.617,2940.1,0,0.0
8,C5,89,0x7fff,!N00597FFF,16,-10.308,1964,-24.446,-37.091,-36.84,-35.768,934.292,-0.33,3427.2,0,0.0
9,A5,53,0x2000,!N00352000,16,-12.251,1909,-24.693,-39.082,-35.641,-36.178,415.979,-4.971,3630.7,0,0.0
10,A5,53,0x4000,!N00354000,16,-7.484,2682,-21.74,-33.807,-33.573,-33.178,1366.479,5.928,3009.8,0,0.0
11,A5,53,0x7fff,!N00357FFF,16,-12.636,2822,-21.298,-31.437,-32.421,-33.104,238.833,0.617,3059.4,0,0.0
12,loop32,32,0x2000,!N00202000,16,-8.945,2712,-21.643,-35.88,-34.404,-34.074,2948.854,-0.58,3172.6,0,0.0
13,loop32,32,0x4000,!N00204000,16,-12.996,2488,-22.392,-33.174,-34.437,-34.28,2370.875,1.682,3075.2,0,0.0
14,loop32,32,0x7fff,!N00207FFF,16,-12.737,2111,-23.819,-36.898,-35.535,-37.866,461.438,-3.533,3289.2,0,0.0
