index,pitch_name,loop_len,velocity_hex,command,repeats,snr_db,peak_abs,peak_dbfs,rms_100ms_dbfs,rms_500ms_dbfs,rms_3s_dbfs,attack_ms,decay_db_per_s,spectral_centroid_hz,clipping_count,silence_after_ms
0,loop127,127,0x2000,!N007F2000,16,-11.743,63,-54.322,-66.955,-63.482,-66.501,265.312,2.189,10089.3,0,1037.3
1,loop127,127,0x4000,!N007F4000,16,-7.874,63,-54.322,-65.177,-65.507,-66.567,138.5,-9.525,9669.1,0,127.0
2,loop127,127,0x7fff,!N007F7FFF,16,-12.19,58,-55.04,-67.043,-68.323,-66.175,1108.542,3.8,9930.4,0,1171.8
3,A4,106,0x2000,!N006A2000,16,-12.317,62,-54.461,-69.304,-69.327,-67.19,1843.646,1.11,10231.5,0,2143.9
4,A4,106,0x4000,!N006A4000,16,-9.949,64,-54.185,-69.098,-67.095,-66.771,1703.562,-5.704,10069.5,0,1535.4
5,A4,106,0x7fff,!N006A7FFF,16,-11.238,53,-55.823,-69.926,-66.855,-67.968,308.688,7.138,10128.5,0,3691.3
6,C5,89,0x2000,!N00592000,16,-9.463,69,-53.532,-65.053,-66.488,-65.392,1043.062,11.615,9857.9,0,334.0
7,C5,89,0x4000,!N00594000,16,-12.13,58,-55.04,-65.872,-65.627,-66.453,2950.792,-4.841,10031.5,0,1031.0
8,C5,89,0x7fff,!N00597FFF,16,-12.084,57,-55.191,-68.001,-67.861,-67.363,2138.729,-7.559,9639.0,0,177.6
9,A5,53,0x2000,!N00352000,16,-13.397,58,-55.04,-69.041,-66.674,-65.886,1665.0,6.276,10209.0,0,142.9
10,A5,53,0x4000,!N00354000,16,-13.11,54,-55.661,-63.035,-66.938,-67.094,2597.75,-1.982,9439.2,0,1402.2
11,A5,53,0x7fff,!N00357FFF,16,-11.505,58,-55.04,-69.398,-65.998,-66.278,1545.271,-9.98,10025.8,0,1132.6
12,loop32,32,0x2000,!N00202000,16,-11.282,60,-54.746,-70.548,-68.221,-65.835,1684.042,-2.011,10102.5,0,404.9
13,loop32,32,0x4000,!N00204000,16,-10.793,66,-53.918,-67.146,-64.125,-66.482,322.521,3.14,9877.5,0,3644.1
14,loop32,32,0x7fff,!N00207FFF,16,-10.966,77,-52.579,-64.749,-64.487,-64.248,1401.833,-1.3,9955.5,0,283.8
