index,body_mix_hex,pitch_name,loop_len,velocity_hex,command,repeats,snr_db,peak_abs,peak_dbfs,rms_100ms_dbfs,rms_500ms_dbfs,rms_3s_dbfs,attack_ms,decay_db_per_s,spectral_centroid_hz,clipping_count,silence_after_ms
0,0x1000,A4,106,0x7fff,!N006A7FFF,1,-0.027,264,-41.877,-56.278,-56.487,-53.62,685.167,5.999,10268.8,0,0.0
1,0x1000,C5,89,0x7fff,!N00597FFF,1,4.132,268,-41.746,-56.236,-55.163,-53.033,1278.417,4.49,10169.4,0,0.1
2,0x2000,A4,106,0x7fff,!N006A7FFF,1,2.622,306,-40.594,-52.379,-49.648,-52.464,431.042,-2.497,9890.9,0,0.0
3,0x2000,C5,89,0x7fff,!N00597FFF,1,0.117,234,-42.924,-57.311,-52.071,-54.139,186.354,-0.329,10013.3,0,0.0
4,0x3000,A4,106,0x7fff,!N006A7FFF,1,-1.272,254,-42.212,-50.95,-54.268,-55.214,705.875,0.222,9888.5,0,0.0
5,0x3000,C5,89,0x7fff,!N00597FFF,1,-0.088,264,-41.877,-54.837,-55.509,-53.942,2860.396,2.782,10287.2,0,0.1
6,0x4000,A4,106,0x7fff,!N006A7FFF,1,2.428,250,-42.35,-56.366,-53.203,-53.931,480.333,0.789,10346.9,0,0.1
7,0x4000,C5,89,0x7fff,!N00597FFF,1,-1.536,234,-42.924,-57.991,-56.811,-55.367,1244.083,3.148,10229.8,0,0.0
8,0x6000,A4,106,0x7fff,!N006A7FFF,1,3.408,242,-42.632,-57.688,-54.071,-54.594,425.083,0.517,10315.8,0,0.0
9,0x6000,C5,89,0x7fff,!N00597FFF,1,-1.124,243,-42.597,-54.129,-53.455,-54.719,266.604,-1.198,9742.7,0,0.0
10,0x8000,A4,106,0x7fff,!N006A7FFF,1,0.774,274,-41.554,-55.827,-52.696,-54.456,311.521,-2.669,10156.2,0,0.1
11,0x8000,C5,89,0x7fff,!N00597FFF,1,-0.944,255,-42.178,-57.856,-55.784,-55.685,1774.792,-5.114,10181.1,0,0.0
12,0xC000,A4,106,0x7fff,!N006A7FFF,1,-0.115,248,-42.42,-54.183,-53.471,-53.738,2644.917,0.461,10183.7,0,0.0
13,0xC000,C5,89,0x7fff,!N00597FFF,1,2.284,267,-41.779,-49.768,-53.895,-53.839,2052.438,-7.213,9842.4,0,0.0
