index,body_mix_hex,pitch_name,loop_len,velocity_hex,command,repeats,snr_db,peak_abs,peak_dbfs,rms_100ms_dbfs,rms_500ms_dbfs,rms_3s_dbfs,attack_ms,decay_db_per_s,spectral_centroid_hz,clipping_count,silence_after_ms
0,0x1000,A4,106,0x7fff,!N006A7FFF,1,-1.356,253,-42.246,-53.652,-55.576,-54.116,1093.333,3.008,10078.2,0,0.3
1,0x1000,C5,89,0x7fff,!N00597FFF,1,0.336,315,-40.343,-54.862,-51.918,-53.317,295.625,0.414,10297.0,0,0.1
2,0x2000,A4,106,0x7fff,!N006A7FFF,1,1.629,250,-42.35,-57.296,-55.152,-54.203,961.104,-1.163,10186.7,0,0.2
3,0x2000,C5,89,0x7fff,!N00597FFF,1,0.339,262,-41.943,-52.969,-53.627,-54.11,2812.271,2.281,9756.3,0,0.7
4,0x3000,A4,106,0x7fff,!N006A7FFF,1,-1.745,260,-42.009,-58.233,-55.9,-54.564,1639.875,-1.672,10231.0,0,0.0
5,0x3000,C5,89,0x7fff,!N00597FFF,1,-1.015,264,-41.877,-58.912,-54.85,-53.368,2655.354,-2.565,10210.4,0,0.0
6,0x4000,A4,106,0x7fff,!N006A7FFF,1,0.784,249,-42.385,-54.78,-55.616,-54.146,1990.625,4.336,10113.5,0,0.2
7,0x4000,C5,89,0x7fff,!N00597FFF,1,2.612,288,-41.121,-55.402,-54.331,-54.592,977.896,-2.626,10054.9,0,0.0
8,0x5000,A4,106,0x7fff,!N006A7FFF,1,2.45,256,-42.144,-55.293,-55.213,-53.324,1697.021,-2.534,9987.7,0,0.0
9,0x5000,C5,89,0x7fff,!N00597FFF,1,-0.188,264,-41.877,-50.508,-53.571,-53.98,2150.896,2.221,9984.0,0,0.1
10,0x6000,A4,106,0x7fff,!N006A7FFF,1,-2.484,279,-41.397,-56.49,-52.549,-53.252,2668.042,-4.482,10330.0,0,0.0
11,0x6000,C5,89,0x7fff,!N00597FFF,1,-1.411,214,-43.7,-53.69,-55.81,-55.577,955.583,-1.413,10488.3,0,0.0
12,0x7000,A4,106,0x7fff,!N006A7FFF,1,0.799,253,-42.246,-56.457,-54.573,-54.364,652.708,6.363,10068.8,0,0.0
13,0x7000,C5,89,0x7fff,!N00597FFF,1,0.583,336,-39.782,-58.334,-51.069,-53.626,452.333,-2.81,10173.8,0,0.0
