# Phase 6 M6.2 UART telemetry evidence
# Pre-bench Q=0x00000000 X=0x00000000 (fresh M6.2 SOF)
# Post default-grid run Q=0x00000026 (= 38 valid commands) X=0x00000000
# Post in-range-grid run Q=0x0000004C (= 76 = 2 x 38) X=0x00000000
# Both runs match the predicted command count exactly. No malformed errors.

# === Most recent live UART snapshot (after both sweeps) ===
# UART snapshot from COM5 for 1.5s
P5M2 BOOT=000003D3 TICK=015E1E08 VC=00 Q=0000004C X=00000000
P5M2 BOOT=000003D4 TICK=015E7996 VC=00 Q=0000004C X=00000000
P5M2 BOOT=000003D5 TICK=015ED523 VC=00 Q=0000004C X=00000000
P5M2 BOOT=000003D6 TICK=015F30B1 VC=00 Q=0000004C X=00000000
P5M2 BOOT=000003D7 TICK=015F8C3E VC=00 Q=0000004C X=00000000
P5M2 BOOT=000003D8 TICK=015FE7CC VC=00 Q=0000004C X=00000000
P5M2 BOOT=000003D9 TICK=01604359 VC=00 Q=0000004C X=00000000
P5M2 BOOT=000003DA TICK=01609EE7 VC=00 Q=0000004C X=00000000
P5M2 BOOT=000003DB TICK=0160FA74 VC=00 Q=0000004C X=00000000
P5M2 BOOT=000003DC TICK=01615602 VC=00 Q=0000004C X=00000000
P5M2 BOOT=000003DD TICK=0161B18F VC=00 Q=0000004C X=00000000
P5M2 BOOT=000003DE TICK=01620D1D VC=00 Q=0000004C X=00000000
P5M2 BOOT=000003DF TICK=016268AA VC=00 Q=0000004C X=00000000
P5M2 BOOT=000003E0 TICK=0162C438 VC=00 Q=0000004C X=00000000
P5M2 BOOT=000003E1 TICK=01631FC5 VC=00 Q=0000004C X=00000000
P5M2 BOOT=000003E2 TICK=01637B53 VC=00 Q=0000004C X=00000000
