index,body_mix_hex,pitch_name,loop_len,velocity_hex,command,repeats,snr_db,peak_abs,peak_dbfs,rms_100ms_dbfs,rms_500ms_dbfs,rms_3s_dbfs,attack_ms,decay_db_per_s,spectral_centroid_hz,clipping_count,silence_after_ms
0,0x1000,A4,106,0x7fff,!N006A7FFF,1,2.356,262,-41.943,-57.746,-53.931,-54.181,475.146,6.572,10237.3,0,0.0
1,0x1000,C5,89,0x7fff,!N00597FFF,1,-0.511,265,-41.844,-55.774,-55.479,-54.109,1567.417,4.047,10244.5,0,0.0
2,0x2000,A4,106,0x7fff,!N006A7FFF,1,0.071,331,-39.912,-57.729,-57.063,-53.54,2579.396,7.259,10034.4,0,0.0
3,0x2000,C5,89,0x7fff,!N00597FFF,1,-1.346,230,-43.074,-58.183,-55.421,-54.558,1032.917,4.551,10373.0,0,0.5
4,0x3000,A4,106,0x7fff,!N006A7FFF,1,-1.392,261,-41.976,-58.178,-54.336,-54.519,549.271,-2.4,10369.9,0,0.7
5,0x3000,C5,89,0x7fff,!N00597FFF,1,2.656,298,-40.824,-52.048,-52.159,-53.991,437.75,-2.308,10074.8,0,0.2
6,0x4000,A4,106,0x7fff,!N006A7FFF,1,-0.955,301,-40.737,-58.712,-56.183,-53.213,2744.75,0.788,10247.9,0,0.6
7,0x4000,C5,89,0x7fff,!N00597FFF,1,0.761,287,-41.151,-55.615,-55.826,-54.985,2593.688,4.658,10215.8,0,0.0
8,0x6000,A4,106,0x7fff,!N006A7FFF,1,-0.872,257,-42.11,-50.766,-52.952,-54.129,793.062,1.376,10040.9,0,0.0
9,0x6000,C5,89,0x7fff,!N00597FFF,1,3.386,278,-41.428,-57.444,-54.346,-54.756,544.583,-2.803,10139.6,0,0.1
10,0x8000,A4,106,0x7fff,!N006A7FFF,1,-1.691,244,-42.561,-55.067,-52.376,-53.687,1030.812,-1.716,10132.0,0,0.1
11,0x8000,C5,89,0x7fff,!N00597FFF,1,0.931,273,-41.585,-55.902,-55.181,-53.891,2995.271,7.163,10269.2,0,0.0
12,0xC000,A4,106,0x7fff,!N006A7FFF,1,3.637,260,-42.009,-57.356,-54.023,-54.07,2368.938,-6.068,10243.9,0,0.0
13,0xC000,C5,89,0x7fff,!N00597FFF,1,-1.569,279,-41.397,-49.601,-52.068,-53.177,1510.562,1.621,9696.3,0,0.0
