index,body_mix_hex,pitch_name,loop_len,velocity_hex,command,repeats,snr_db,peak_abs,peak_dbfs,rms_100ms_dbfs,rms_500ms_dbfs,rms_3s_dbfs,attack_ms,decay_db_per_s,spectral_centroid_hz,clipping_count,silence_after_ms
0,0x1000,A4,106,0x7fff,!N006A7FFF,1,-2.579,270,-41.681,-51.427,-51.062,-53.493,344.625,-2.312,9914.7,0,0.0
1,0x1000,C5,89,0x7fff,!N00597FFF,1,-2.135,343,-39.603,-53.693,-50.519,-53.714,268.542,3.271,10266.9,0,0.0
2,0x2000,A4,106,0x7fff,!N006A7FFF,1,3.032,244,-42.561,-55.91,-54.991,-55.029,1549.5,-4.89,10278.6,0,0.6
3,0x2000,C5,89,0x7fff,!N00597FFF,1,2.255,286,-41.181,-55.646,-51.724,-53.661,2495.042,-1.894,10113.3,0,0.2
4,0x3000,A4,106,0x7fff,!N006A7FFF,1,-1.797,270,-41.681,-52.861,-53.46,-54.253,217.021,1.826,10308.9,0,0.1
5,0x3000,C5,89,0x7fff,!N00597FFF,1,0.602,248,-42.42,-52.438,-53.41,-54.571,1972.833,2.444,10255.9,0,0.0
6,0x4000,A4,106,0x7fff,!N006A7FFF,1,1.129,261,-41.976,-57.52,-52.985,-54.234,1597.729,1.227,10337.4,0,0.1
7,0x4000,C5,89,0x7fff,!N00597FFF,1,-1.263,273,-41.585,-54.533,-54.804,-53.722,2831.604,3.846,10222.1,0,0.0
8,0x5000,A4,106,0x7fff,!N006A7FFF,1,2.622,266,-41.811,-50.014,-53.065,-53.274,2360.583,1.092,9813.1,0,0.1
9,0x5000,C5,89,0x7fff,!N00597FFF,1,-1.819,234,-42.924,-57.74,-53.666,-54.404,447.438,-2.167,10102.7,0,0.1
10,0x6000,A4,106,0x7fff,!N006A7FFF,1,-0.529,234,-42.924,-56.107,-55.32,-54.501,1223.667,-1.767,10447.0,0,0.0
11,0x6000,C5,89,0x7fff,!N00597FFF,1,0.103,286,-41.181,-59.139,-52.503,-53.344,2919.771,-2.756,10124.2,0,0.0
12,0x7000,A4,106,0x7fff,!N006A7FFF,1,1.002,262,-41.943,-49.341,-52.31,-53.692,2.333,-2.388,9698.1,0,0.3
13,0x7000,C5,89,0x7fff,!N00597FFF,1,3.955,267,-41.779,-49.591,-52.686,-53.495,2669.042,4.783,9842.1,0,0.0
