# UART snapshot from COM5 for 2.0s
P5M2 BOOT=00000313 TICK=011973E8 VC=00 Q=00000026 X=00000000
P5M2 BOOT=00000314 TICK=0119CF76 VC=00 Q=00000026 X=00000000
P5M2 BOOT=00000315 TICK=011A2B03 VC=00 Q=00000026 X=00000000
P5M2 BOOT=00000316 TICK=011A8691 VC=00 Q=00000026 X=00000000
P5M2 BOOT=00000317 TICK=011AE21E VC=00 Q=00000026 X=00000000
P5M2 BOOT=00000318 TICK=011B3DAC VC=00 Q=00000026 X=00000000
P5M2 BOOT=00000319 TICK=011B9939 VC=00 Q=00000026 X=00000000
P5M2 BOOT=0000031A TICK=011BF4C7 VC=00 Q=00000026 X=00000000
P5M2 BOOT=0000031B TICK=011C5054 VC=00 Q=00000026 X=00000000
P5M2 BOOT=0000031C TICK=011CABE2 VC=00 Q=00000026 X=00000000
P5M2 BOOT=0000031D TICK=011D076F VC=00 Q=00000026 X=00000000
P5M2 BOOT=0000031E TICK=011D62FD VC=00 Q=00000026 X=00000000
P5M2 BOOT=0000031F TICK=011DBE8A VC=00 Q=00000026 X=00000000
P5M2 BOOT=00000320 TICK=011E1A18 VC=00 Q=00000026 X=00000000
P5M2 BOOT=00000321 TICK=011E75A5 VC=00 Q=00000026 X=00000000
P5M2 BOOT=00000322 TICK=011ED133 VC=00 Q=00000026 X=00000000
