# UART snapshot from COM5 for 2.0s
P5M2 BOOT=0000052D TICK=01D9DB47 VC=00 Q=0000004C X=00000000
P5M2 BOOT=0000052E TICK=01DA36D5 VC=00 Q=0000004C X=00000000
P5M2 BOOT=0000052F TICK=01DA9262 VC=00 Q=0000004C X=00000000
P5M2 BOOT=00000530 TICK=01DAEDF0 VC=00 Q=0000004C X=00000000
P5M2 BOOT=00000531 TICK=01DB497D VC=00 Q=0000004C X=00000000
P5M2 BOOT=00000532 TICK=01DBA50B VC=00 Q=0000004C X=00000000
P5M2 BOOT=00000533 TICK=01DC0098 VC=00 Q=0000004C X=00000000
P5M2 BOOT=00000534 TICK=01DC5C26 VC=00 Q=0000004C X=00000000
P5M2 BOOT=00000535 TICK=01DCB7B3 VC=00 Q=0000004C X=00000000
P5M2 BOOT=00000536 TICK=01DD1341 VC=00 Q=0000004C X=00000000
P5M2 BOOT=00000537 TICK=01DD6ECE VC=00 Q=0000004C X=00000000
P5M2 BOOT=00000538 TICK=01DDCA5C VC=00 Q=0000004C X=00000000
P5M2 BOOT=00000539 TICK=01DE25E9 VC=00 Q=0000004C X=00000000
P5M2 BOOT=0000053A TICK=01DE8177 VC=00 Q=0000004C X=00000000
P5M2 BOOT=0000053B TICK=01DEDD04 VC=00 Q=0000004C X=00000000
P5M2 BOOT=0000053C TICK=01DF3892 VC=00 Q=0000004C X=00000000
