# UART snapshot from COM5 for 2.0s
P5M2 BOOT=00000070 TICK=00280DD0 VC=00 Q=00000000 X=00000000
P5M2 BOOT=00000071 TICK=0028695D VC=01 Q=00000000 X=00000000
P5M2 BOOT=00000072 TICK=0028C4EB VC=03 Q=00000000 X=00000000
P5M2 BOOT=00000073 TICK=00292078 VC=00 Q=00000000 X=00000000
P5M2 BOOT=00000074 TICK=00297C06 VC=01 Q=00000000 X=00000000
P5M2 BOOT=00000075 TICK=0029D793 VC=03 Q=00000000 X=00000000
P5M2 BOOT=00000076 TICK=002A3321 VC=00 Q=00000000 X=00000000
P5M2 BOOT=00000077 TICK=002A8EAE VC=02 Q=00000000 X=00000000
P5M2 BOOT=00000078 TICK=002AEA3C VC=03 Q=00000000 X=00000000
P5M2 BOOT=00000079 TICK=002B45C9 VC=01 Q=00000000 X=00000000
P5M2 BOOT=0000007A TICK=002BA157 VC=02 Q=00000000 X=00000000
P5M2 BOOT=0000007B TICK=002BFCE4 VC=03 Q=00000000 X=00000000
P5M2 BOOT=0000007C TICK=002C5872 VC=01 Q=00000000 X=00000000
P5M2 BOOT=0000007D TICK=002CB3FF VC=02 Q=00000000 X=00000000
P5M2 BOOT=0000007E TICK=002D0F8D VC=00 Q=00000000 X=00000000
P5M2 BOOT=0000007F TICK=002D6B1A VC=01 Q=00000000 X=00000000
