index,body_mix_hex,pitch_name,loop_len,velocity_hex,command,repeats,snr_db,peak_abs,peak_dbfs,rms_100ms_dbfs,rms_500ms_dbfs,rms_3s_dbfs,attack_ms,decay_db_per_s,spectral_centroid_hz,clipping_count,silence_after_ms
0,0x1000,A4,106,0x7fff,!N006A7FFF,1,0.884,220,-43.46,-57.834,-54.396,-54.303,1482.188,-2.518,9936.1,0,0.0
1,0x1000,C5,89,0x7fff,!N00597FFF,1,-1.121,275,-41.522,-56.985,-54.788,-54.025,1586.062,-3.661,10179.5,0,0.0
2,0x2000,A4,106,0x7fff,!N006A7FFF,1,-0.162,241,-42.668,-54.861,-54.342,-54.78,1283.625,-2.295,10030.9,0,0.0
3,0x2000,C5,89,0x7fff,!N00597FFF,1,0.204,252,-42.281,-59.159,-54.587,-54.375,1324.854,-1.171,10415.1,0,0.3
4,0x3000,A4,106,0x7fff,!N006A7FFF,1,-3.037,263,-41.91,-54.051,-55.533,-55.142,2021.604,0.98,10132.1,0,0.0
5,0x3000,C5,89,0x7fff,!N00597FFF,1,2.736,281,-41.335,-52.177,-51.68,-53.277,235.062,-0.797,10017.1,0,0.2
6,0x4000,A4,106,0x7fff,!N006A7FFF,1,1.026,273,-41.585,-57.791,-55.445,-55.134,2836.021,-1.436,10233.5,0,0.0
7,0x4000,C5,89,0x7fff,!N00597FFF,1,1.901,260,-42.009,-57.05,-56.567,-54.74,2205.958,0.421,10314.0,0,0.2
8,0x5000,A4,106,0x7fff,!N006A7FFF,1,-0.96,246,-42.49,-55.184,-54.725,-53.988,1199.417,2.634,10264.7,0,0.0
9,0x5000,C5,89,0x7fff,!N00597FFF,1,0.354,270,-41.681,-53.764,-56.088,-53.703,2657.354,2.727,9905.7,0,0.0
10,0x6000,A4,106,0x7fff,!N006A7FFF,1,-0.996,273,-41.585,-55.061,-54.434,-53.546,1884.188,1.299,9926.9,0,0.1
11,0x6000,C5,89,0x7fff,!N00597FFF,1,-0.077,230,-43.074,-56.905,-56.062,-54.467,2589.854,5.873,10592.9,0,0.0
12,0x7000,A4,106,0x7fff,!N006A7FFF,1,-1.62,290,-41.061,-55.725,-56.015,-54.219,618.75,5.117,9970.3,0,0.1
13,0x7000,C5,89,0x7fff,!N00597FFF,1,1.402,265,-41.844,-56.328,-55.523,-53.47,1193.938,-0.298,10331.3,0,0.0
