# UART snapshot from COM5 for 2.0s
P5M2 BOOT=000001C3 TICK=00A14A30 VC=00 Q=00000026 X=00000000
P5M2 BOOT=000001C4 TICK=00A1A5BE VC=00 Q=00000026 X=00000000
P5M2 BOOT=000001C5 TICK=00A2014B VC=00 Q=00000026 X=00000000
P5M2 BOOT=000001C6 TICK=00A25CD9 VC=00 Q=00000026 X=00000000
P5M2 BOOT=000001C7 TICK=00A2B866 VC=00 Q=00000026 X=00000000
P5M2 BOOT=000001C8 TICK=00A313F4 VC=00 Q=00000026 X=00000000
P5M2 BOOT=000001C9 TICK=00A36F81 VC=00 Q=00000026 X=00000000
P5M2 BOOT=000001CA TICK=00A3CB0F VC=00 Q=00000026 X=00000000
P5M2 BOOT=000001CB TICK=00A4269C VC=00 Q=00000026 X=00000000
P5M2 BOOT=000001CC TICK=00A4822A VC=00 Q=00000026 X=00000000
P5M2 BOOT=000001CD TICK=00A4DDB7 VC=00 Q=00000026 X=00000000
P5M2 BOOT=000001CE TICK=00A53945 VC=00 Q=00000026 X=00000000
P5M2 BOOT=000001CF TICK=00A594D2 VC=00 Q=00000026 X=00000000
P5M2 BOOT=000001D0 TICK=00A5F060 VC=00 Q=00000026 X=00000000
P5M2 BOOT=000001D1 TICK=00A64BED VC=00 Q=00000026 X=00000000
P5M2 BOOT=000001D2 TICK=00A6A77B VC=00 Q=00000026 X=00000000
