# UART snapshot from COM5 for 2.0s
P5M2 BOOT=00000013 TICK=0006CB68 VC=03 Q=00000000 X=00000000
P5M2 BOOT=00000014 TICK=000726F6 VC=00 Q=00000000 X=00000000
P5M2 BOOT=00000015 TICK=00078283 VC=02 Q=00000000 X=00000000
P5M2 BOOT=00000016 TICK=0007DE11 VC=03 Q=00000000 X=00000000
P5M2 BOOT=00000017 TICK=0008399E VC=00 Q=00000000 X=00000000
P5M2 BOOT=00000018 TICK=0008952C VC=02 Q=00000000 X=00000000
P5M2 BOOT=00000019 TICK=0008F0B9 VC=03 Q=00000000 X=00000000
P5M2 BOOT=0000001A TICK=00094C47 VC=01 Q=00000000 X=00000000
P5M2 BOOT=0000001B TICK=0009A7D4 VC=02 Q=00000000 X=00000000
P5M2 BOOT=0000001C TICK=000A0362 VC=00 Q=00000000 X=00000000
P5M2 BOOT=0000001D TICK=000A5EEF VC=01 Q=00000000 X=00000000
P5M2 BOOT=0000001E TICK=000ABA7D VC=02 Q=00000000 X=00000000
P5M2 BOOT=0000001F TICK=000B160A VC=00 Q=00000000 X=00000000
P5M2 BOOT=00000020 TICK=000B7198 VC=01 Q=00000000 X=00000000
P5M2 BOOT=00000021 TICK=000BCD25 VC=03 Q=00000000 X=00000000
P5M2 BOOT=00000022 TICK=000C28B3 VC=00 Q=00000000 X=00000000
