index,body_mix_hex,pitch_name,loop_len,velocity_hex,command,repeats,snr_db,peak_abs,peak_dbfs,rms_100ms_dbfs,rms_500ms_dbfs,rms_3s_dbfs,attack_ms,decay_db_per_s,spectral_centroid_hz,clipping_count,silence_after_ms
0,0x1000,A4,106,0x7fff,!N006A7FFF,1,3.229,260,-42.009,-54.667,-54.436,-54.35,2945.333,0.115,9799.9,0,0.0
1,0x1000,C5,89,0x7fff,!N00597FFF,1,-1.836,224,-43.304,-54.707,-54.149,-54.212,737.75,1.373,9871.2,0,0.0
2,0x2000,A4,106,0x7fff,!N006A7FFF,1,-1.806,241,-42.668,-56.45,-54.793,-53.61,2951.396,2.916,10250.5,0,0.0
3,0x2000,C5,89,0x7fff,!N00597FFF,1,1.116,271,-41.649,-54.369,-54.917,-53.8,2597.458,5.227,10193.5,0,0.2
4,0x3000,A4,106,0x7fff,!N006A7FFF,1,1.247,249,-42.385,-56.791,-53.492,-54.205,666.438,-0.9,10072.0,0,0.0
5,0x3000,C5,89,0x7fff,!N00597FFF,1,-1.472,283,-41.273,-56.471,-55.046,-54.858,2077.312,0.762,9993.5,0,0.0
6,0x4000,A4,106,0x7fff,!N006A7FFF,1,-0.918,226,-43.227,-52.718,-53.651,-55.001,2158.354,-2.592,10049.5,0,0.1
7,0x4000,C5,89,0x7fff,!N00597FFF,1,-0.526,294,-40.942,-54.298,-52.577,-53.746,1362.125,1.347,10010.1,0,0.0
8,0x6000,A4,106,0x7fff,!N006A7FFF,1,0.38,320,-40.206,-56.462,-52.753,-53.901,171.75,-4.695,10201.3,0,0.0
9,0x6000,C5,89,0x7fff,!N00597FFF,1,0.195,282,-41.304,-54.979,-53.964,-54.124,1771.708,4.806,9956.4,0,0.0
10,0x8000,A4,106,0x7fff,!N006A7FFF,1,2.611,246,-42.49,-53.383,-53.933,-54.008,2942.583,1.686,9846.7,0,0.0
11,0x8000,C5,89,0x7fff,!N00597FFF,1,-1.251,304,-40.651,-59.322,-55.756,-54.974,1038.542,6.017,10244.4,0,0.0
12,0xC000,A4,106,0x7fff,!N006A7FFF,1,-2.127,213,-43.741,-58.078,-56.319,-55.271,639.062,-0.568,10149.8,0,0.0
13,0xC000,C5,89,0x7fff,!N00597FFF,1,2.328,269,-41.714,-58.958,-57.91,-53.989,2322.146,-4.593,10282.2,0,0.1
