# Pre-bench UART (recorded before sweep): Q=0x01F6 X=0x00070001
# Post-bench UART (recorded after sweep, before this snapshot):
# Q=0x021C X=0x00070001
# Delta Q = 0x021C - 0x01F6 = 0x26 = 38 (matches expected I1=1+B=7+F=15+N=14+I0=1)
# Delta X = 0 (no new errors)
# Live snapshot at acceptance time:
# UART snapshot from COM5 for 1.5s
P5M2 BOOT=00044353 TICK=8649B748 VC=00 Q=0000021C X=00070001
P5M2 BOOT=00044354 TICK=864A12D6 VC=00 Q=0000021C X=00070001
P5M2 BOOT=00044355 TICK=864A6E63 VC=00 Q=0000021C X=00070001
P5M2 BOOT=00044356 TICK=864AC9F1 VC=00 Q=0000021C X=00070001
P5M2 BOOT=00044357 TICK=864B257E VC=00 Q=0000021C X=00070001
P5M2 BOOT=00044358 TICK=864B810C VC=00 Q=0000021C X=00070001
P5M2 BOOT=00044359 TICK=864BDC99 VC=00 Q=0000021C X=00070001
P5M2 BOOT=0004435A TICK=864C3827 VC=00 Q=0000021C X=00070001
P5M2 BOOT=0004435B TICK=864C93B4 VC=00 Q=0000021C X=00070001
P5M2 BOOT=0004435C TICK=864CEF42 VC=00 Q=0000021C X=00070001
P5M2 BOOT=0004435D TICK=864D4ACF VC=00 Q=0000021C X=00070001
P5M2 BOOT=0004435E TICK=864DA65D VC=00 Q=0000021C X=00070001
P5M2 BOOT=0004435F TICK=864E01EA VC=00 Q=0000021C X=00070001
P5M2 BOOT=00044360 TICK=864E5D78 VC=00 Q=0000021C X=00070001
P5M2 BOOT=00044361 TICK=864EB905 VC=00 Q=0000021C X=00070001
P5M2 BOOT=00044362 TICK=864F1493 VC=00 Q=0000021C X=00070001
